id,x,y,free
1,0,0,1
2,0,1,1
3,0,2,1
4,0,3,1
5,0,4,1
6,0,5,1
7,0,6,1
8,0,7,1
9,0,8,1
10,0,9,1
11,1,0,1
12,1,1,1
13,1,2,1
14,1,3,1
15,1,4,1
16,1,5,1
17,1,6,1
18,1,7,1
19,1,8,1
20,1,9,1
21,2,0,1
22,2,1,1
23,2,2,1
24,2,3,1
25,2,4,1
26,2,5,1
27,2,6,1
28,2,7,1
29,2,8,1
30,2,9,1
31,3,0,1
32,3,1,1
33,3,2,1
34,3,3,1
35,3,4,1
36,3,5,1
37,3,6,1
38,3,7,1
39,3,8,1
40,3,9,1
41,4,0,1
42,4,1,1
43,4,2,1
44,4,3,1
45,4,4,1
46,4,5,1
47,4,6,1
48,4,7,1
49,4,8,1
50,4,9,1
51,5,0,1
52,5,1,1
53,5,2,1
54,5,3,1
55,5,4,1
56,5,5,1
57,5,6,1
58,5,7,1
59,5,8,1
60,5,9,1
61,6,0,1
62,6,1,1
63,6,2,1
64,6,3,1
65,6,4,1
66,6,5,1
67,6,6,1
68,6,7,1
69,6,8,1
70,6,9,1
71,7,0,1
72,7,1,1
73,7,2,1
74,7,3,1
75,7,4,1
76,7,5,1
77,7,6,1
78,7,7,1
79,7,8,1
80,7,9,1
81,8,0,1
82,8,1,1
83,8,2,1
84,8,3,1
85,8,4,1
86,8,5,1
87,8,6,1
88,8,7,1
89,8,8,1
90,8,9,1
91,9,0,1
92,9,1,1
93,9,2,1
94,9,3,1
95,9,4,1
96,9,5,1
97,9,6,1
98,9,7,1
99,9,8,1
100,9,9,1
